campaign,click,click_pos,click_nb,cost,time_since_last_click,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,hour,day,pCTR
68,1,-1,-1,0.00230217396389,5838,5,13,984,10,0,2,1014,3,11,0,0,0.6703825787483193
356,0,-1,-1,0.000541904985118,212671,5,14,1060,10,2,2,5026,9,8,0,0,0.5283800583005891
14,1,-1,-1,0.000525840481807,1807,5,51,1330,10,0,2,543,1,18,0,0,0.6856420804871657
623,0,-1,-1,0.000640888047344,120,2,35,554,7,1,2,2234,7,12,0,0,0.4878334745778608
469,0,-1,-1,2.05882353818e-05,-1,5,14,696,10,36,2,5278,7,15,0,0,0.40973152806667784
71,1,-1,-1,2.74162258115e-05,1773878,5,46,1315,10,43,2,820,7,7,0,0,0.3100139523183539
447,1,-1,-1,7.35294117647e-05,-1,1,51,71,10,14,12,1467,4,15,0,0,0.33343547561538084
399,1,-1,-1,2.16273121997e-05,27567,5,14,14,10,0,12,2845,4,28,0,0,0.6816386963675467
169,0,-1,-1,7.83519870603e-05,558302,5,47,1348,10,36,12,3005,4,27,0,0,0.36191198546682546
348,0,-1,-1,6.1831231487e-05,2879,5,51,11,10,46,8,4607,4,19,0,0,0.4725821155294828
169,0,-1,-1,5.88235302882e-05,-1,4,47,1144,10,36,12,681,4,15,0,0,0.22604403206343288
514,0,-1,-1,2.3458314613e-05,223654,5,14,1173,10,42,17,3811,4,8,0,0,0.3231101392689223
293,0,-1,-1,6.75203409337e-05,94576,4,51,335,10,36,2,2121,7,17,0,0,0.49232833746468285
118,1,1,6,0.0015850472431,536,2,20,3,2,41,19,4091,4,23,0,0,0.9958334205654562
65,1,-1,-1,4.16715311653e-05,-1,3,51,618,7,43,12,3911,4,15,0,0,0.26473088147260276
422,0,-1,-1,7.0562007974e-05,1752634,3,51,592,7,36,2,5278,1,7,0,0,0.21019333380763677
301,0,-1,-1,3.31969284115e-05,2114913,5,46,1324,10,36,12,4386,4,6,0,0,0.27530459198906987
225,0,-1,-1,0.000579513813366,122359,3,50,1266,7,5,12,3735,4,16,0,0,0.37606264147729057
460,0,-1,-1,1.47058825721e-05,-1,0,51,300,10,36,2,870,2,15,0,0,0.3366238105752371
71,0,-1,-1,1e-05,524867,0,46,1315,10,43,2,1946,8,27,0,0,0.1337686555577271
169,0,-1,-1,1.47058825721e-05,-1,5,47,1348,10,36,5,681,4,15,0,0,0.13974936182099804
162,1,1,3,0.000413085296452,363648,4,41,138,10,43,14,4903,4,9,0,0,0.9958334205654562
268,0,-1,-1,8.80658363594e-05,-1,5,14,393,10,36,20,5278,4,15,0,0,0.3859979726416776
521,0,-1,-1,0.000305882341722,-1,0,15,860,10,23,2,1867,8,15,0,0,0.16059361808681846
356,0,-1,-1,1e-05,1345438,5,14,25,10,2,2,161,8,7,0,0,0.2476420163151766
606,1,-1,-1,2.35294112388e-05,-1,6,51,208,10,2,12,5278,4,15,0,0,0.3773306664546384
567,0,-1,-1,1.47058825721e-05,-1,5,14,773,10,36,5,1343,4,15,0,0,0.21294520397722821
521,0,-1,-1,0.000600070041769,-1,5,33,860,10,23,2,4952,3,15,0,0,0.3560377419739924
130,0,-1,-1,0.000477941176471,-1,0,51,909,10,45,2,4433,3,15,0,0,0.289890854544677
169,0,-1,-1,0.000139427236837,926057,5,47,1144,10,36,24,1560,4,26,0,0,0.24591004257671595
567,0,-1,-1,0.000110294135178,-1,6,14,672,10,36,2,5278,9,15,0,0,0.3863012580787581
281,0,-1,-1,0.000137426034296,615122,0,51,1206,10,36,2,4819,7,27,0,0,0.30168031845213855
481,1,-1,-1,0.00032043005597,110833,4,51,1309,10,43,12,4749,4,16,0,0,0.34861361775840394
636,1,-1,-1,0.00205722288592,26328,5,51,24,10,0,11,4336,4,28,0,0,0.6268176464438352
435,0,-1,-1,0.000386099110063,121332,5,14,1058,10,43,11,4724,4,16,0,0,0.410473224834121
7,1,-1,-1,0.0007014707958,-1,3,14,1134,7,36,0,375,4,15,0,0,0.1767488049716744
552,0,-1,-1,7.50160034482e-05,1910412,5,2,746,10,36,2,969,8,7,0,0,0.25087111184454913
301,1,-1,-1,1e-05,-1,7,46,1324,10,36,2,4861,7,15,0,0,0.32910941686514605
399,1,-1,-1,1e-05,166848,5,14,14,10,0,2,2845,2,8,0,0,0.6616425122184522
356,0,-1,-1,3.59501470538e-05,-1,5,14,25,10,2,8,431,4,15,0,0,0.29699359166455197
152,0,-1,-1,1e-05,1918324,2,51,1297,10,34,17,4957,4,7,0,0,0.24820106916176599
299,1,-1,-1,0.000123199427429,703256,4,51,1284,10,36,12,1386,4,27,0,0,0.3381401952176506
181,0,-1,-1,0.000155972740146,190147,0,51,30,10,38,2,2170,3,8,0,0,0.28839758110225794
627,1,-1,-1,0.000183823529412,-1,2,32,1098,10,26,12,5278,4,15,0,0,0.2792372842709653
411,0,-1,-1,1.92990592297e-05,-1,0,51,1168,10,27,12,4448,4,15,0,0,0.34000779498873435
85,0,-1,-1,0.000408171029651,-1,5,51,47,10,43,2,2336,7,15,0,0,0.2509425856066027
51,0,-1,-1,1.46356706073e-05,2347009,3,51,827,10,36,11,5278,4,6,0,0,0.2898992643413267
110,0,-1,-1,1.52795608429e-05,-1,4,51,965,7,43,14,2304,4,15,0,0,0.21115996925845607
630,1,-1,-1,0.000711842339027,130641,2,26,1394,10,26,2,5278,7,16,0,0,0.312374265202253
374,0,-1,-1,9.94768400405e-05,188296,7,51,292,10,0,2,5300,9,8,0,0,0.5844854873697587
625,0,-1,-1,0.000229206268808,239,4,26,98,10,26,2,3865,4,2,0,0,0.4387215710991903
435,1,-1,-1,0.000155198100735,-1,4,14,1059,7,43,2,4724,7,15,0,0,0.24426570454486646
349,0,-1,-1,1.42571698862e-05,372316,5,51,1237,10,24,11,5278,4,9,0,0,0.4934601284440418
613,0,-1,-1,1.38905107537e-05,-1,1,51,851,10,2,20,5278,4,15,0,0,0.4377053534773042
138,0,-1,-1,1e-05,-1,1,14,151,10,45,21,5306,4,15,0,0,0.4681674237224403
435,0,-1,-1,0.000341365111887,6721,5,14,1126,10,43,14,4724,4,11,0,0,0.4778717580853581
299,1,-1,-1,0.000384530560991,220044,3,51,1284,16,36,2,2025,3,8,0,0,0.3208258668160701
435,1,-1,-1,5.69510898169e-05,-1,5,14,1057,10,43,14,188,4,15,0,0,0.3343067167616809
190,0,-1,-1,0.00047577560348,1200784,2,51,400,10,43,2,4554,1,26,0,0,0.16358708471240524
101,1,0,1,0.000441176470588,-1,5,46,1196,10,2,2,5077,0,15,0,0,0.9958334205654562
51,1,-1,-1,0.000226069440822,958717,5,51,874,10,36,12,5278,4,26,0,0,0.4612241407650831
435,0,-1,-1,9.11217489663e-05,-1,0,14,1057,10,43,20,1722,4,15,0,0,0.44569212996780827
156,0,-1,-1,6.17694591775e-05,-1,8,21,209,10,41,12,5278,4,15,0,0,0.38253192108939915
68,1,-1,-1,4.51902957524e-05,-1,5,13,984,10,0,8,5278,4,15,0,0,0.626808774271275
336,0,-1,-1,1e-05,-1,8,21,1382,10,36,12,5278,4,15,0,0,0.3707947245373393
206,0,-1,-1,1e-05,-1,1,51,1156,10,47,12,2759,4,15,0,0,0.31983374940914755
281,0,-1,-1,1e-05,-1,5,51,1206,10,36,2,2351,10,15,0,0,0.1635238782114052
295,0,-1,-1,1.96941109265e-05,-1,5,51,1080,10,13,12,5248,4,15,0,0,0.44267767236658784
278,0,-1,-1,0.000238546709432,1651354,4,14,364,10,36,20,1417,4,7,0,0,0.21134666903748686
12,0,-1,-1,1e-05,1811975,5,51,862,10,45,10,3150,4,7,0,0,0.3521432848297773
625,1,-1,-1,0.000217443144982,250,4,26,98,10,26,2,3865,4,3,0,0,0.4387215710991903
517,0,-1,-1,1e-05,-1,7,51,720,10,2,12,4554,4,15,0,0,0.328446483116467
449,0,-1,-1,3.38235300253e-05,-1,2,44,260,10,26,2,5278,3,15,0,0,0.2641397192230439
483,0,-1,-1,1.2076629258e-05,1752561,5,51,950,10,37,2,5390,3,7,0,0,0.293193428623161
538,0,-1,-1,1e-05,373162,5,51,1171,10,0,12,5278,4,9,0,0,0.6158635004904547
582,1,-1,-1,0.000463124365013,649260,5,14,104,10,45,2,1193,7,27,0,0,0.2912946696720705
530,1,-1,-1,8.78446355753e-05,140103,2,51,1331,10,0,12,3671,4,16,0,0,0.36846903144097476
518,0,-1,-1,1.35589004565e-05,522404,5,51,719,10,2,2,3688,7,27,0,0,0.4542365172011146
463,1,0,1,0.000263235288507,-1,4,51,800,10,24,2,5278,6,15,0,0,0.9958334205654562
435,1,-1,-1,6.86191540819e-05,1388,5,14,1126,10,43,2,4724,5,18,0,0,0.6035683766839192
368,0,-1,-1,4.29390580464e-05,656745,5,51,219,10,46,12,5316,4,27,0,0,0.48515832336887527
399,0,-1,-1,0.000105404155693,1208,5,14,918,10,0,2,2845,0,18,0,0,0.7034743455750868
360,0,-1,-1,1e-05,-1,5,46,497,10,2,5,3147,4,15,0,0,0.2095233032029508
435,1,-1,-1,0.000158646948197,-1,0,14,1059,10,43,2,4724,0,15,0,0,0.37832086492929035
564,1,-1,-1,4.0049197423e-05,1696111,5,2,175,10,36,2,2148,7,7,0,0,0.29669974804278704
597,1,-1,-1,0.000114020620863,139,5,35,1260,10,36,2,4100,2,12,0,0,0.6408813267393931
460,0,-1,-1,1.47058825721e-05,-1,0,51,300,10,36,2,870,2,15,0,0,0.3366238105752371
475,0,-1,-1,2.41419278524e-05,-1,4,46,1322,10,0,2,5321,4,15,0,0,0.38491299026141823
168,0,-1,-1,0.0001229875738,271784,3,14,562,10,36,0,3220,4,9,0,0,0.2295029894406046
415,0,-1,-1,2.03261524438e-05,-1,4,14,454,7,36,12,221,4,15,0,0,0.21014477674087745
115,0,-1,-1,0.00117376974321,448,5,26,683,10,43,14,700,4,23,0,0,0.4506734574765953
476,0,-1,-1,0.000169332272866,-1,5,51,7,10,13,11,728,4,15,0,0,0.31927955478993036
399,1,-1,-1,0.000127941194703,-1,5,14,14,10,0,2,2845,6,15,0,0,0.7410229315681142
475,0,-1,-1,1e-05,-1,2,46,1322,10,0,23,2271,4,15,0,0,0.2395760957003493
279,1,-1,-1,0.0024032358386,88482,5,51,99,10,2,2,687,1,17,0,0,0.528598343385623
169,0,-1,-1,1.74705355482e-05,-1,1,47,1348,10,36,12,354,4,15,0,0,0.318644540866416
630,0,-1,-1,1e-05,2250778,2,43,1394,7,26,14,3899,4,6,0,0,0.07634641645465137
87,0,-1,-1,1.91176463576e-05,-1,0,14,999,10,45,2,4761,4,15,0,0,0.27961536593246006
169,1,-1,-1,5.66944185176e-05,36085,5,47,1348,10,36,12,681,4,28,0,0,0.5269899955072751
118,0,-1,-1,0.000157238754854,1019804,4,20,1319,10,41,12,5278,4,26,0,0,0.3333888396613486
464,0,-1,-1,0.001255676319,4392,5,51,1153,10,36,2,4378,1,10,0,0,0.510164498622474
134,1,-1,-1,0.000227804359268,-1,5,35,297,10,36,14,983,4,15,0,0,0.35525626822496775
279,0,-1,-1,0.000165297073476,-1,8,21,1073,10,2,2,5278,0,15,0,0,0.3484460550136959
84,1,-1,-1,0.00023991149502,711525,5,51,885,10,36,24,1565,4,27,0,0,0.2765193863979161
395,0,-1,-1,0.000101203515249,-1,0,51,423,10,36,24,2458,4,15,0,0,0.282773147859198
136,0,-1,-1,3.66709468996e-05,-1,8,21,1386,10,36,20,5278,4,15,0,0,0.3495596054883088
241,0,-1,-1,0.000238014268932,611939,5,51,1277,10,2,2,2861,9,27,0,0,0.46043230714712663
463,1,-1,-1,4.85294136931e-05,-1,5,51,800,10,24,2,5278,3,15,0,0,0.3726310777331773
158,0,-1,-1,0.000146025184259,768124,3,2,235,10,44,18,4178,4,26,0,0,0.18879072563388022
4,0,-1,-1,1.70341412774e-05,807141,5,51,1081,10,2,2,3480,10,26,0,0,0.19034445270477637
59,0,-1,-1,3.66796019048e-05,795315,5,51,1307,10,37,23,4163,4,26,0,0,0.2679011351929042
435,0,-1,-1,0.000217277337524,-1,0,14,1058,10,43,2,2925,9,15,0,0,0.3466440000829814
566,0,-1,-1,0.000169117643553,-1,3,51,1350,10,2,2,3910,9,15,0,0,0.21751693636086544
475,1,-1,-1,0.000189638523494,-1,3,46,1322,10,0,11,4461,4,15,0,0,0.2661286145228144
69,1,-1,-1,0.000228915600216,-1,8,21,877,10,10,20,5278,4,15,0,0,0.3757629362424857
435,0,-1,-1,1.73631376203e-05,-1,7,14,1058,10,43,20,1722,4,15,0,0,0.33194119581791026
117,1,-1,-1,1.98460975842e-05,932381,1,14,1229,10,36,12,849,4,26,0,0,0.31455281744844976
365,1,0,1,0.000868156867869,-1,0,51,1022,10,46,11,2828,4,15,0,0,0.9958334205654562
275,0,-1,-1,2.77810215074e-05,-1,6,14,1096,10,42,10,5278,4,15,0,0,0.49788312926555905
562,0,-1,-1,0.000160294122556,-1,7,11,77,10,43,12,441,4,15,0,0,0.3181987557041496
463,0,-1,-1,2.6391968131e-05,-1,5,51,726,10,24,21,5278,4,15,0,0,0.4422594482540531
398,0,-1,-1,0.000102509884476,795624,3,20,140,7,43,2,5053,7,26,0,0,0.24758382838573265
608,1,-1,-1,0.000482425495915,1496558,5,14,416,10,37,24,5395,4,7,0,0,0.3036469803005248
521,0,-1,-1,2.20588244059e-05,-1,0,15,860,10,23,2,4952,7,15,0,0,0.3100503422489792
118,0,-1,-1,5.79528602903e-05,512359,2,20,3,3,41,2,4091,6,27,0,0,0.36178114039105846
431,0,-1,-1,7.94117678615e-05,-1,3,51,761,7,32,2,1677,2,15,0,0,0.1592189841694216
196,0,-1,-1,0.000294117647059,-1,5,51,1028,10,45,2,1626,1,15,0,0,0.29411425923534024
446,0,-1,-1,4.70897073254e-05,-1,4,14,190,10,43,2,1410,1,15,0,0,0.23659964104971953
17,1,-1,-1,1.91176463576e-05,-1,4,51,961,16,2,2,3852,3,15,0,0,0.19732153571352642
538,1,-1,-1,1e-05,-1,5,51,1171,10,0,12,5278,4,15,0,0,0.4677288210054807
480,0,-1,-1,1.19601168592e-05,513623,5,51,144,10,13,11,2855,4,27,0,0,0.3747731176644606
291,0,-1,-1,9.028830949e-05,-1,0,51,659,10,42,2,53,0,15,0,0,0.5290273101838295
19,0,-1,-1,3.84574997075e-05,-1,5,14,1079,10,36,8,2237,4,15,0,0,0.38225289078394536
151,0,-1,-1,2.05882353818e-05,-1,5,51,518,10,38,5,1173,4,15,0,0,0.2226705321250802
611,0,-1,-1,0.000160414322068,1658845,5,14,39,10,36,12,2674,4,7,0,0,0.3085128507565963
475,1,5,8,0.00103418957827,145936,2,46,1322,10,0,14,3791,4,16,0,0,0.9958334205654562
196,1,-1,-1,1e-05,-1,5,51,1028,10,45,2,2589,2,15,0,0,0.27611659091237184
627,0,-1,-1,1.17647078107e-05,-1,2,41,1099,15,26,2,370,8,15,0,0,0.07749449466359609
279,1,-1,-1,0.000198634284384,-1,7,51,99,10,2,2,687,3,15,0,0,0.3320133272274337
193,0,-1,-1,2.94117651441e-05,-1,1,27,477,10,43,2,2838,3,15,0,0,0.3848384989146613
65,0,-1,-1,1.32352946436e-05,-1,0,51,619,10,43,12,4051,4,15,0,0,0.39080968044289843
121,0,-1,-1,0.00066018410781,42242,2,20,80,7,36,12,432,4,29,0,0,0.3097621720368256
326,0,-1,-1,0.000206486729021,1385894,4,15,505,10,23,12,731,4,7,0,0,0.21587309041540462
299,0,-1,-1,0.000177079200333,189350,3,51,1284,10,36,18,1386,4,8,0,0,0.377701472784597
366,0,-1,-1,2.08357655826e-05,-1,5,14,890,10,37,14,540,4,15,0,0,0.26933793894304414
136,0,-1,-1,5.5284228395e-05,-1,5,51,1386,10,36,20,124,4,15,0,0,0.2754835788509228
237,0,-1,-1,3.66709468996e-05,-1,5,51,125,10,45,20,2562,4,15,0,0,0.3310407828974664
279,1,-1,-1,0.000343095590087,-1,8,21,1073,10,2,2,5278,9,15,0,0,0.3851379210718307
397,0,-1,-1,7.33670373174e-05,-1,5,46,1234,10,43,11,1452,4,15,0,0,0.40620967369252486
381,1,0,2,0.00428200042533,1304327,5,51,968,10,36,26,997,4,7,0,0,0.9958334205654562
360,0,-1,-1,0.000144117649864,-1,5,46,497,10,2,2,3147,0,15,0,0,0.33957642320533415
398,1,-1,-1,0.000294117647059,-1,5,41,103,10,43,12,4334,4,15,0,0,0.3642449558134088
162,1,-1,-1,8.94030139726e-05,-1,1,0,831,10,43,12,813,4,15,0,0,0.46190648683527513
295,0,-1,-1,9.38340144999e-05,-1,4,51,1080,10,13,24,1279,4,15,0,0,0.18357656582263987
199,1,-1,-1,9.55882317879e-05,-1,4,51,1062,7,36,12,314,4,15,0,0,0.23349148649862556
64,1,-1,-1,3.31104695102e-05,1849661,0,51,467,10,14,24,560,4,7,0,0,0.24067240128239673
497,0,-1,-1,1.47058825721e-05,-1,5,51,657,10,2,12,2417,4,15,0,0,0.368440003104703
7,0,-1,-1,4.63162358144e-05,754084,5,46,820,10,36,2,4041,8,26,0,0,0.28477398429777534
359,1,-1,-1,0.000142443510239,1731829,0,51,558,10,2,17,3159,4,7,0,0,0.33879279660538997
44,0,-1,-1,0.000309758361649,-1,5,51,694,10,36,21,5278,4,15,0,0,0.4389088944163481
564,0,-1,-1,4.38745859324e-05,426639,2,2,177,10,36,2,4718,1,9,0,0,0.21481666061754595
430,0,-1,-1,4.46779392846e-05,15750,5,6,13,10,0,11,3267,4,0,0,0,0.6582305769102913
241,0,-1,-1,0.000172442338046,-1,4,51,1037,10,2,12,2861,4,15,0,0,0.2453887028837072
360,0,-1,-1,4.13773515646e-05,-1,5,46,497,10,2,8,2387,4,15,0,0,0.3442637846038301
593,0,-1,-1,1.60049033516e-05,-1,1,51,1061,10,45,2,2802,0,15,0,0,0.26494144192588504
349,1,-1,-1,1e-05,-1,5,51,1237,10,24,2,5278,7,15,0,0,0.31391673176356105
30,1,-1,-1,0.000129331753534,-1,0,14,671,10,22,12,3740,4,15,0,0,0.3669061025062442
518,0,-1,-1,1e-05,-1,1,51,719,10,2,10,2548,4,15,0,0,0.40937444411862217
446,1,-1,-1,1e-05,-1,5,14,190,10,43,2,981,4,15,0,0,0.3237331813773239
221,1,-1,-1,0.000329288419556,-1,5,51,935,10,37,14,5278,4,15,0,0,0.36576640618725653
475,1,-1,-1,0.00350221561111,138,2,46,1322,3,0,2,4744,5,12,0,0,0.4338022742655142
196,0,-1,-1,1e-05,-1,4,51,1028,10,45,2,4921,3,15,0,0,0.28601185553790665
430,1,-1,-1,0.000296907659512,180,4,6,13,7,0,12,2387,4,2,0,0,0.695398696893601
430,0,-1,-1,0.00031508467829,1,4,6,13,7,0,12,2387,4,14,0,0,0.7706926510658257
51,0,-1,-1,0.0002072752012,944214,5,51,874,10,36,12,5278,4,26,0,0,0.4612241407650831
344,0,-1,-1,0.000184549609788,842,4,51,1161,7,45,8,3107,4,22,0,0,0.46937576387381635
279,0,-1,-1,1.38905107537e-05,-1,4,51,1072,10,2,20,3424,4,15,0,0,0.2901178929318717
237,1,-1,-1,1.25014595687e-05,-1,1,51,125,10,45,11,5251,4,15,0,0,0.46124486121803493
623,0,-1,-1,0.000241535957053,215037,3,14,1302,7,1,26,1498,4,8,0,0,0.285336282518893
541,1,-1,-1,1.11124094795e-05,-1,1,51,1347,10,2,2,5278,1,15,0,0,0.49347596894616774
248,1,-1,-1,0.000737519592096,443049,5,51,812,10,2,14,1641,4,27,0,0,0.43032860002949375
220,0,-1,-1,1e-05,-1,5,51,759,10,2,2,5278,9,15,0,0,0.4337610406409106
169,0,-1,-1,7.35461555649e-05,1897205,5,14,1348,10,36,12,1158,4,7,0,0,0.26276193909147866
162,0,-1,-1,0.000366742714539,3129,5,20,1253,10,43,24,860,4,10,0,0,0.3751645579033084
336,0,-1,-1,4.55882356447e-05,-1,5,51,153,10,36,25,1600,4,15,0,0,0.2963017281826468
581,1,-1,-1,1.92540182787e-05,-1,4,51,887,10,14,18,294,4,15,0,0,0.18057151882828817
517,0,-1,-1,1e-05,-1,8,51,720,10,2,2,3543,4,15,0,0,0.2700249646191138
460,0,-1,-1,1.47058825721e-05,-1,0,51,300,10,36,2,870,2,15,0,0,0.3366238105752371
518,1,-1,-1,3.75043776106e-05,-1,5,51,719,10,2,2,209,0,15,0,0,0.3415479028646675
228,0,-1,-1,9.69306340191e-05,1332419,5,51,798,10,36,24,3261,4,7,0,0,0.2441822762971693
483,1,-1,-1,0.000346713296926,2864,5,51,950,10,37,7,1320,4,19,0,0,0.40623203522652146
475,0,-1,-1,0.00126681215833,438036,2,46,1322,15,0,2,1897,7,9,0,0,0.2105193681344395
435,0,-1,-1,2.34034341062e-05,638457,4,14,1057,10,43,12,4724,4,27,0,0,0.2615661325736353
626,0,-1,-1,1.48353656443e-05,1166213,2,26,461,10,26,2,2924,10,26,0,0,0.06798742861954057
377,0,-1,-1,1e-05,-1,4,51,20,10,1,2,2611,10,15,0,0,0.15030215995687082
152,0,-1,-1,4.41313008998e-05,1835867,2,51,299,10,34,2,4518,8,7,0,0,0.13468283358239677
630,0,-1,-1,1e-05,271432,2,40,1393,3,26,2,3899,7,9,0,0,0.09444811930311596
151,1,-1,-1,0.00195300097229,442646,4,51,518,7,38,8,3451,4,27,0,0,0.32429317330508967
67,0,-1,-1,1.04414967491e-05,-1,0,51,240,10,22,14,5278,4,15,0,0,0.41908590698911957
196,0,-1,-1,8.32350181923e-05,346,5,51,1028,10,45,14,1626,4,3,0,0,0.4834242060838538
397,0,-1,-1,7.01832464513e-05,-1,5,14,600,10,43,12,1452,4,15,0,0,0.3542049172864282
115,0,-1,-1,1e-05,-1,7,27,1256,10,43,2,86,6,15,0,0,0.32984444038884314
612,0,-1,-1,0.000427429547582,560,5,51,745,10,36,14,188,4,23,0,0,0.4845476623264573
521,0,-1,-1,8.23529415271e-05,-1,2,15,861,10,23,5,4261,4,15,0,0,0.11102752626137075
446,1,-1,-1,2.5474760024e-05,-1,5,14,190,10,43,2,3808,7,15,0,0,0.33691203493520505
612,1,-1,-1,0.00019960314359,561,5,51,745,10,36,14,188,4,23,0,0,0.4845476623264573
624,0,-1,-1,1.23753332916e-05,-1,3,30,947,10,26,11,3571,4,15,0,0,0.20299407405553285
502,0,-1,-1,1.91427898757e-05,-1,5,51,1135,10,2,17,4457,4,15,0,0,0.3384998267755351
246,0,-1,-1,5.75193675125e-05,-1,1,14,964,10,21,12,1889,4,15,0,0,0.32350699167850855
315,0,-1,-1,1e-05,-1,1,51,724,10,2,2,5278,1,15,0,0,0.4975208863535029
81,1,-1,-1,5.55620430147e-05,-1,5,51,652,10,32,14,3905,4,15,0,0,0.25896947280230487
463,1,-1,-1,0.00060850850464,59080,0,51,800,10,24,2,5278,7,29,0,0,0.5306397987314828
475,1,-1,-1,0.000244868117221,-1,0,46,402,10,0,2,1460,7,15,0,0,0.551926263136517
380,0,-1,-1,0.000350213157571,116466,5,51,1275,10,36,2,4916,3,16,0,0,0.5229741746320118
579,1,0,1,0.000226470582625,-1,1,51,313,10,25,5,1148,4,15,0,0,0.9958334205654562
103,0,-1,-1,1e-05,1251048,5,51,741,10,36,2,2020,9,7,0,0,0.3688528441015245
409,0,-1,-1,1.17647078107e-05,-1,4,51,870,10,36,2,4595,0,15,0,0,0.20520321044056666
414,1,-1,-1,1.17245634251e-05,-1,0,14,915,10,36,11,4605,4,15,0,0,0.35723195946984165
299,0,-1,-1,0.00018409014461,381492,5,51,1284,10,36,2,1386,9,9,0,0,0.3757443248871619
517,1,-1,-1,1e-05,-1,0,51,720,10,2,2,3851,7,15,0,0,0.47447023696821333
373,0,-1,-1,7.90469793961e-05,799272,3,46,124,10,14,8,3488,4,26,0,0,0.2244786871981107
380,0,-1,-1,3.42169352396e-05,232319,5,51,1275,10,36,2,5132,10,8,0,0,0.280486205269823
327,1,-1,-1,0.00019257621175,961624,2,14,318,10,23,2,5278,5,26,0,0,0.35919870002040377
564,0,-1,-1,0.000192540182787,-1,5,14,1252,10,36,12,4718,4,15,0,0,0.3320469854246946
30,0,-1,-1,0.00022425386025,70774,5,14,671,10,22,12,3824,4,17,0,0,0.41061454602217584
85,0,-1,-1,3.77668484169e-05,-1,8,21,1008,10,43,24,5278,4,15,0,0,0.28494955764192637
7,1,-1,-1,9.53900599139e-05,213118,5,46,820,10,36,2,375,3,8,0,0,0.49213075441418147
